cancer_type,gender,age_at_diagnosis,n,n_predicted
Cervix,F,28,211,205.6280384811125
Cervix,F,29,244,240.47332211555872
Cervix,F,30,262,273.6297883055779
Cervix,F,31,324,312.10567119557993
Cervix,F,32,335,343.27163824987883
Cervix,F,33,377,374.1610511211834
Cervix,F,34,403,400.7024463677455
Cervix,F,35,422,418.14856806300804
Cervix,F,36,420,437.4067963805141
Cervix,F,37,477,464.84740912051416
Cervix,F,38,486,480.8890737898335
Cervix,F,39,466,470.37975094649374
Cervix,F,40,457,456.1602587077478
Cervix,F,41,445,449.77830872932105
Cervix,F,42,453,451.2278431074552
Cervix,F,43,458,458.2050277839169
Cervix,F,44,457,463.01593670945005
Cervix,F,45,467,450.791367795489
Cervix,F,46,418,420.27818999786314
Cervix,F,47,377,384.4435843655935
Cervix,F,48,366,380.0227256428876
Cervix,F,49,404,386.46953137615486
Cervix,F,50,371,371.80211593155633
Cervix,F,51,340,330.9517612954889
Cervix,F,52,273,284.76231456634133
Cervix,F,53,248,257.7593415089064
Cervix,F,54,270,259.433467033057
Cervix,F,55,258,253.03306148144975
Cervix,F,56,231,236.5691943737843
Cervix,F,57,218,220.29217540236922
Cervix,F,58,217,209.883043044754
Cervix,F,59,189,197.90721238090026
Cervix,F,60,197,189.68494955090736
Cervix,F,61,179,184.11553655900826
Cervix,F,62,180,176.7915771750813
Cervix,F,63,171,165.6835320757609
Cervix,F,64,147,161.13849252678182
Cervix,F,65,172,162.6180271012119
Cervix,F,66,163,165.34131359113618
Cervix,F,67,161,162.02786554054032
Cervix,F,68,155,146.28784157972552
Cervix,F,69,120,125.62656651035891
Cervix,F,70,104,111.36294177849636
Cervix,F,71,121,110.41791489461247
Cervix,F,72,100,111.31216962688106
Cervix,F,73,120,106.12968791662664
Cervix,F,74,82,93.04916313251721
Cervix,F,75,90,81.21695937584148
Cervix,F,76,63,68.29055830521429
Cervix,F,77,59,60.10811711960969
Cervix,F,78,61,61.752776356002684
Cervix,F,79,69,63.608339716396976
Cervix,F,80,57,59.35030694309828
Cervix,F,81,52,54.396747783546765
Cervix,F,82,54,53.17723486187777
Cervix,F,83,51,48.07987934202454
