Age,Gender,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
  47 Year,Male,29615,28545,28703,29440,31778,30871,30151,28568,28401,30124,30315,32326,32297,33407,32839,32091,32253,32164,31974,31107,30821,29483,28673,28457,26635,24981,23750,23764,23014,21744,21731,14834,11536,14195,12264,12355,14265,14389,13735,11586,10420,11124,11490,10209,10472
  48 Year,Male,28515,29066,29839,30939,30692,30059,28458,28274,29983,30181,32136,32078,33249,32679,32082,32292,32093,31890,31072,30685,29404,28319,28423,26534,24921,23726,23765,22992,21711,21678,14835,11522,14183,12277,12505,14243,14353,13692,11535,10320,11008,11484,10235,10450,9944
  49 Year,Male,28980,30176,31335,29794,29884,28301,28130,29835,30065,31971,31888,33039,32498,31904,32271,32114,31766,31049,30657,29346,28244,28044,26472,24943,23687,23748,22990,21687,21644,14804,11520,14149,12269,12513,14396,14294,13646,11483,10229,10873,11482,10262,10416,9914,10043
  50 Year,Male,30072,31649,30128,28957,28081,27946,29677,29864,31802,31696,32829,32267,31745,32106,31971,31693,30884,30553,29302,28164,27954,25697,24884,23598,23668,22941,21612,21592,14760,11510,14101,12260,12486,14370,14410,13551,11425,10106,10734,11443,10263,10353,9848,9966,10258
  51 Year,Male,31579,30407,29317,27228,27771,29527,29673,31585,31483,32617,32016,31502,31862,31798,31522,30842,30434,29256,28089,27806,25674,24102,23515,23583,22853,21544,21515,14713,11462,14039,12221,12451,14308,14376,13602,11351,9991,10614,11407,10256,10301,9785,9889,10174,9896
  52 Year,Male,30328,29608,27474,26911,29321,29511,31422,31323,32409,31794,31288,31620,31582,31367,30514,30300,29133,27973,27712,25592,24084,22787,23486,22671,21415,21413,14652,11416,13981,12192,12385,14245,14289,13543,11376,9867,10471,11363,10258,10243,9754,9824,10113,9822,9354
  53 Year,Male,29465,27714,27168,28421,29273,31198,31155,32209,31594,31104,31425,31407,31216,30316,29981,29041,27832,27595,25541,23990,22742,22794,22547,21389,21323,14574,11362,13897,12119,12310,14155,14210,13483,11334,9836,10350,11322,10260,10174,9701,9752,10017,9732,9301,8843
  54 Year,Male,27622,27382,28648,28391,30937,30939,31981,31405,30914,31254,31176,30993,30156,29837,28733,27728,27430,25429,23899,22627,22729,21977,21287,21182,14507,11300,13793,12056,12224,14079,14127,13418,11262,9786,10298,11272,10241,10089,9654,9655,9911,9639,9219,8789,8185
  55 Year,Male,27279,28909,28624,29933,30692,31764,31162,30704,31119,30964,30810,29962,29677,28550,27385,27356,25349,23809,22586,22624,21900,20683,21036,14384,11228,13708,11982,12115,13998,14001,13338,11199,9723,10200,11292,10193,9993,9597,9550,9787,9543,9115,8717,8105,7814
  56 Year,Male,28736,28817,30186,29665,31455,30941,30514,30880,30740,30606,29776,29456,28337,27206,27062,25245,23624,22477,22497,21768,20607,20428,14264,11099,13591,11900,12014,13891,13872,13218,11131,9647,10148,11204,10237,9903,9512,9447,9662,9437,9025,8641,8005,7728,7367
  57 Year,Male,28618,30436,29864,30441,30653,30281,30680,30493,30344,29561,29229,28128,27004,26895,25065,23521,22288,22410,21641,20470,20315,13766,11018,13531,11828,11897,13792,13765,13110,11029,9563,10029,11069,10127,9874,9419,9348,9532,9287,8896,8567,7905,7645,7287,7157
  58 Year,Male,30221,30028,30595,29644,30001,30461,30247,30149,29318,29011,27938,26777,26667,24878,23340,22173,22284,21496,20293,20144,13698,10637,13390,11714,11772,13648,13615,12988,10910,9482,9944,10963,10010,9745,9366,9229,9387,9156,8786,8457,7798,7565,7194,7054,6769
  59 Year,Male,29806,30791,29777,29147,30159,30030,29925,29094,28794,27718,26563,26490,24694,23188,21970,22153,21333,20144,19998,13570,10579,12934,11613,11630,13515,13436,12846,10799,9358,9830,10841,9898,9630,9254,9141,9242,9013,8673,8355,7669,7434,7070,6951,6681,6699
  60 Year,Male,30567,29972,29264,29265,29733,29703,28873,28539,27430,26319,26243,24469,22976,21803,21947,21211,19986,19878,13455,10458,12867,11160,11482,13326,13262,12698,10674,9253,9695,10712,9774,9504,9168,9001,9147,8845,8535,8228,7566,7317,6953,6819,6581,6560,6650
  61 Year,Male,29758,29321,29334,28835,29371,28616,28294,27203,26060,26022,24241,22770,21605,21737,20985,19849,19684,13321,10397,12740,11096,11061,13130,13116,12526,10540,9123,9554,10557,9625,9382,9012,8811,8987,8703,8378,8130,7455,7177,6836,6700,6496,6435,6501,6111
  62 Year,Male,29113,29410,28929,28494,28318,28043,26993,25817,25795,24036,22527,21409,21511,20805,19654,19505,13173,10310,12624,10996,10932,12583,12932,12335,10382,8985,9382,10407,9475,9219,8869,8650,8843,8529,8261,8006,7320,7050,6718,6560,6395,6292,6327,5957,5870
  63 Year,Male,29140,28905,28494,27437,27686,26689,25534,25539,23779,22315,21172,21258,20580,19408,19285,13074,10151,12467,10855,10805,12471,12390,12171,10229,8840,9209,10241,9302,9082,8716,8496,8666,8378,8105,7920,7175,6916,6590,6427,6263,6125,6143,5795,5708,5495
  64 Year,Male,28644,28475,27416,26858,26363,25273,25234,23491,22066,20968,21034,20335,19109,19046,12925,10070,12262,10706,10650,12288,12257,11654,10054,8684,9013,10067,9142,8893,8556,8335,8505,8208,7910,7754,7064,6763,6453,6281,6143,5974,5945,5623,5554,5345,5036
  65 Year,Male,28220,27377,26842,25533,24940,24947,23239,21797,20715,20764,20054,18864,18794,12765,9903,12130,10560,10484,12112,12051,11470,9657,8511,8845,9870,8965,8736,8397,8158,8323,8023,7722,7567,6917,6634,6298,6138,6047,5793,5775,5437,5387,5177,4885,5062
  66 Year,Male,27029,26732,25505,24139,24584,22979,21507,20416,20457,19769,18607,18502,12539,9777,11963,10411,10299,11920,11835,11290,9469,8148,8666,9652,8791,8560,8234,7964,8112,7839,7512,7377,6739,6458,6186,5973,5918,5626,5605,5259,5208,5030,4708,4884,4645
  67 Year,Male,26391,25394,24049,23823,22604,21232,20165,20171,19531,18316,18216,12349,9606,11767,10261,10136,11693,11624,11100,9264,7997,8239,9416,8570,8366,8038,7734,7895,7644,7292,7165,6555,6303,6010,5830,5782,5422,5427,5088,5027,4893,4551,4694,4480,4742
  68 Year,Male,25042,23934,23720,21871,20915,19902,19908,19228,18030,17938,12124,9436,11570,10065,9940,11509,11393,10878,9082,7787,8075,8968,8339,8109,7843,7520,7654,7440,7084,6938,6403,6141,5808,5612,5687,5231,5231,4901,4840,4741,4378,4512,4314,4525,4561
